Date,High,Low,Open,Close,Volume,Adj Close
2019-08-16,35.0099983215332,34.4900016784668,34.720001220703125,34.650001525878906,28474700,33.3105354309082
2019-08-19,35.31999969482422,34.83000183105469,34.880001068115234,35.18000030517578,20870300,33.820045471191406
2019-08-20,35.15999984741211,34.56999969482422,35.099998474121094,34.61000061035156,18911300,33.27207946777344
2019-08-21,35.119998931884766,34.81999969482422,34.939998626708984,34.869998931884766,18224600,33.522029876708984
2019-08-22,35.22999954223633,34.79999923706055,34.959999084472656,35.08000183105469,16065600,33.72391891479492
2019-08-23,35.349998474121094,34.16999816894531,35.209999084472656,34.34000015258789,26342800,33.01251983642578
2019-08-26,34.86000061035156,34.47999954223633,34.619998931884766,34.84000015258789,16573700,33.49319076538086
2019-08-27,35.09000015258789,34.310001373291016,35.0099983215332,34.34000015258789,23449100,33.01251983642578
2019-08-28,35.150001525878906,34.279998779296875,34.36000061035156,35.08000183105469,24713400,33.72391891479492
2019-08-29,35.790000915527344,35.22999954223633,35.790000915527344,35.33000183105469,18605600,33.96425247192383
2019-08-30,35.720001220703125,35.279998779296875,35.619998931884766,35.54999923706055,17906400,34.175743103027344
2019-09-03,36.279998779296875,35.5099983215332,35.61000061035156,36.119998931884766,25260900,34.72370910644531
2019-09-04,36.400001525878906,35.70000076293945,36.29999923706055,35.83000183105469,19591500,34.44491958618164
2019-09-05,36.47999954223633,35.88999938964844,36.11000061035156,36.34000015258789,20964700,34.93520736694336
2019-09-06,36.56999969482422,36.11000061035156,36.36000061035156,36.5,19804000,35.089019775390625
